name,botanicalName,plantFamily,origin,partOfPlant,note,strength,fragrance,plantInfo,effect,Harmonzes,CONTRAINDICATIONS
Camphor,Cinnamomum camphora,Lauraceae,China,Wood,Top,3,Herbal: Medicenal,Camphor is an evergreen plant belonging to the Lauraceae family of Eastern Asia. It grows mostly in China; Japan and Taiwan; often reaches a height of 40 m with rather thin base from which the camphor is extracted by steam stream and then refined through the sublimation process. The leaves are lanceolate; groovy; thick and persistent with White flowers and black drupa fruit,Harmonizing; Revitalise; Supports airways; Excellent support for bronchitis; Stimulating; a true tonic for the nerve system; lightly narcotic; stimulates bloodcirculation,Basil; Benzoin; Cajeput; Chamomile; Rosemary; Pine; Cardamom; Cinnamon; Citronella; Elemi; Lavender; Lavendin; Ho; Lemon; Neroli and Citrus oils,Use in moderation. Do not ingest or use pure skin; scratches or wounds. Pregnancy is not recommended.
Cardamom,Elettaria cardamomum,Zingiberaceae,india,Seed,Top,3,Spicy,Cardamom (Elettaria Cardamomum) is a perennial herbaceous plant belonging to the Zingiberaceae family of Asian Tropical origin. Cultured for the most part in India; Sri Lanka and Laos often reach a height of 4 m with long silky saber leaves; long stems carry small flowers.,Harmonizing; Revitalise; Supports airways; Purifying; Expectorant; sooths coughing & bronchitis; warming; Refreshing and strengths the mind; relaxes the muscles; lightly aphrodisiac,Sweet Orange; Bergamot; Cinnamon; Cedar; Cloves; Elemi; Star Anis; Lime; Ylang-Ylang and citrus oils,It is allergic and sensitizing
Cassia,Cinnamomum cassia,Lauraceae,Vietnam,Bark,Hart,5,Spicy,Revitalise; Purifying; ,,,
Cedar Atlas,Cedrus atlantica,Pinaceae,Morocco,Wood,Base,4,Woody,Atlantic Cedar (Cedrus Atlantica) is an evergreen tree belonging to the Pinaceae family of Algeria. Cultivated for the most part in Morocco it often reaches a height of 40 m with woody bases at the base; pyramidal shape; majestic livery and light green leaves,Relaxing; Supports airways; Purifying; Supports airways;  removes old stuck mucous; purifying; warming; calming; warming; calming,,Do not use during pregnancy
Cedar Himalaya,Cedrus deodara,Pinaceae,india,Wood,Base,4,Woody,The Himalayan cedar  (Cedrus Deodara) is an evergreen plant belonging to the Pinaceae family originally from the western side of the Himalayas. It grows mostly in India; Afghanistan; Tibet and Nepal; often reaches a height of 40 m with rather large bulks at the base with pendulum branches. The leaves are needle-shaped; softer and longer than those of other cedars,Relaxing; Supports airways; Purifying; Supports airways; removes old stuck mucous; warming; calming; Tonic for lymphatic system (cellulite!); stimulates immunesystem,Benzoin; Bergamot; Cypress; Jasmine; Juniper; Rosemary; Ylang-Ylang and Citrus oils,Do not use during pregnancy
Ceder Virginie,Juniperus virginiana L,Cupressaceae,USA,Wood,Base,3,Woody,Virginia Cedar (Juniperus Virginiana) is a majestic evergreen tree belonging to the Cupressaceae family of North America. Cultivated for the most part in North America and Canada often reaches a height of 35 m with woody bases at the base; lightheaded and light green cone. Plant also known as Virginia's Jungle,Relaxing; Supports airways; removes old stuck mucous; purifying; warming; calming; Tonic for lymphatic system and vains; stimulates bloodcirculation,Benzoin; Bergamot; Cypress; Jasmine; Juniper; Rosemary; Ylang-Ylang and Citrus oils,Do not use during pregnancy
Cinnamom,Cinnamomum zeylannicum,Lauraceae,Sri Lanka,Leaf,Base,5,Spicy,Cinnamon (Cinnamomum Verum) is an evergreen tropical tree belonging to the Lauraceae family of Sri Lanka. Cultivated for the most part in Madagascar; it often reaches a height of 15 m with woody bases at the base; sturdy branches; thick bark and scabra; shiny green leaves and small white flowers,Harmonizing; Supports airways; Supports immunesystem; Purifying; Strongly antibacterial; sooths airways; Stimulates immunesystem; Gives a warm cozy feeling; boost the spirit; true winteroil; Stimulates bloodcirculation; purifies ,Amyris; Star Anise; Lemongrass; Sweet Orange; Basil; Benzoin; Cajeput; Coriander; Sweet Fennel; Lavender; Lavendir; Red Mandarin; Ylang-Ylang and citrus oils,Use with caution and dose very low! Cinnamon contains phenols and aldyhydes what can cause severe skin irritation if overdosed
Citronella Java,Cymbopogon winterianus,Poaceae,China,Plant,Top,3,Citrus,,Revitalise; Purifying,,
Beramot,Citrus bergamia,Rutaceae,Itlay,Peel,Top,3,Citrus,,Relaxing; Harmonizing; Purifying,,
Clove,Eugenia caryophyllata,Myrtaceae,Indonesia,Flower,,5,Spicy,,Revitalise; Supports airways; Purifying,,
Combava leaf,Citrus hystrix,Rutaceae,Madagascar,Plant,Top,3,Citrus,,Relaxing; Supports airways; Supports immunesystem,,
Copal,Copaifera officinalis,Fabaceae,Brasil,resin,Base,3,Resinous,,Harmonizing; Supports airways,,
Coriander,Coriandrum sativum,Apiaceae,Russia,Seed,Top,3,Spicy,,Relaxing; Harmonizing; Purifying,,
Cypres,Cupressus sempervirens,Cupressaceae,Spain,Leaf,Base,3,Woody,,Revitalise; Supports airways,,
Douglasfir,Pseudotsuga mensiensii,Pinaceae,France,Plant,Top,3,Woody,,Revitalise; Supports airways; Support immunesystem; Purifying,,
Elemi,Canarium luzonicum,burseraseae,Philippines,Resin,Hart,3,Resinous,,Relaxing; Harmonizing;  Supports immunesystem; Purifying,,
Eucalyptus,Eucalyptus citriodora,Myrtaceae,Brasil,Leaf,Top,4,Herbal:Medicenal,,Revitalise; Supports airways; Purifying,,
Eucalyptus dives,Eucalyptus dives,Myrtaceae,South-Africa,Leaf,Top,3,Herbal:Medicenal,,Revitalise; Supports airways; Purifying,,
Eucalyptus globulus,Eucalyptus globulus,Myrtaceae,Australia,Leaf,Top,4,Herbal:Medicenal,,Revitalise; Supports airways; Purifying,,
Eucalyptus Smithii,Eucalyptus smithii,Myrtaceae,South-Africa,Leaf,Top,3,Herbal:Medicenal,,Revitalise; Supports airways; Purifying,,
Eucalyptus Staigeriana,Eucalyptus staigeriana  ,Myrtaceae,Brasil,leaf,Top,3,Herbal:Medicenal,,Revitalise; Supports airways; Purifying,,
Frankincense,Boswelia serrata,burseraseae,India,Resin,Base,2,Resinous,,Relaxing; Supports airways,,
Geranium,Pelargonium x asperum,geraniacea,Eygpt,Flower,Hart,5,Flower,,Relaxing; Harmonizing; Supports immunesystem,,
GerGeranium rose,Pelargonium x asperum,geraniacea,Eygpt,Plant,Hart,5,Flower,,Relaxing; Harmonizing; Supports immunesystem,,
Ginger,Zingiber officinalis,Zingiberaceae,China,Root,Hart,4,Spicy,,Revitalise; Supports airways,,
Grapefruit,Citrus paradisi,Rutaceae,Argentina,Peel,Top,4,Citrus,,Harmonizing; Purifying,,
Green mint,Mentha viridis,Lamiaceae,India,Plant,,4,Top,`,Revitalise; Supports airways,,
Ho leaf,Cinnamomum camphora,Lauraceae,Taiwan,Leaf,Hart,2,Flower,,Revitalise; Supports immunesystem,,
Ho wood,Cinnamomum camph. Sieb,Lauraceae,China,Wood,Hart,4,Woody,,Revitalise; Supports immunesystem,,
Jasmin absolut,Jasminus offic.    ,Oleaceae,India,Flower,Hart,6,Flower,,Relaxing; Harmonizing,,
Jatamansi,Nardostachys jatamansi,Poaceae,Himalaya,Root,Base,4,Resinous,,Relaxing;  Purifying,,
Juniper Berry,Juniperus communis,Cupressaceae,India,Branches and Fruit,Top,2,Herbal,,Revitalise; Purifying,,
Katafray,Cedrelopsis grevei,Limonene,Madagascar,Wood,Base,,Woody: Conifer,,Relaxing; Harmonizing,,
Korean fir,Abies koreaensis,Pinaceae,South-Korea,Needles,Hart,3,Woody:Conifer,,Harmonizing; Supports airways; Purifying,,
Laural,Laurus nobilis L,Lauraceae,Turkey,Leaf,Top,3,Herbal,,Harmonizing; Supports airways; Supports immunesystem; Purifying,,
Lavandin Super,Lavandula x hybrida 'super',Lamiaceae,Spain,Plant,Top,3,Flower,, Relaxing; Harmonizing; Supports airways; Supports immunesystem; Purifying,,
Lavander,Lavandula officinalis,Lamiaceae,France,Plant,Hart,3,Flower,, Relaxing; Harmonizing; Supports airways; Supports immunesystem; Purifying,,
Lemon,Citrus limon,Rutaceae,Sicily,Peel,Top,3,Citrus,,Harmonizing; Revitalise; Supports airways; ports immunesystem; Purifying,,
Lemongrass,Cymbopogon flexuosus,Poaceae,India,Plant,Top,3,Citrus,,Revitalise; Purifying,,
Lime,Citrus aurantifolia,Rutaceae,Mexico,Peel,Top,3,Citrus,,Revitalise; Supports airways; ports immunesystem; Purifying,,
Litsea,Litsea cubeba,Lauraceae,China,Fruit,Top,5,Citrus,,Harmonizing; Supports airways; Purifying,,
Mandarin,Citrus reticulata groen,Rutaceae,Itlay,Peel,Hart,4,Citrus,,Relaxing; Supports airways; Supports immunesystem,,
Mandarin,Citrus reticulata,Rutaceae,Spain,Peel,Hart,3,Citrus,,Relaxing; Supports airways; Supports immunesystem,,
Mandarin,Citrus reticulata var. Yellow,Rutaceae,Itlay,Peel,Hart,4,Citrus,,Relaxing; Supports airways; Supports immunesystem,,
Marjoram,Majorana hortensis M.,Lamiaceae,Eygpt,Plant,Hart,4,Herbal,,Relaxing; Supports airways; Purifying,,
Martitime pine,Pinus pinaster,Pinaceae,Portugal,Resin,Top,3,Woody:Conifer,,Revitalise; Supports airways; Purifying,,
Mountain pine,Pinus mugo,Pinaceae,Itlay,Needles,Top,4,Woody:Conifer,,Revitalise; Supports airways; Supports immunesystem; Purifying,,
Myrrh,Commiphora myrrha,burseraseae,Somalia,Resin,Base,4,Resinous,,Relaxing; Purifying,,
Myrtle,Myrtus communis,Myrtaceae,Morocco,Leaf,Top,3,Herbal,,Harmonizing; Revitalise; Supports airways; Purifying,,
Niaouli CT cineol,Melaleuca viridiflora,Myrtaceae,madagascar,Leaf,Hart,3,Herbal:Medicenal,,Revitalise; Supports airways; Purifying,,
Nutmeg,Myristica fragrans,Myrtaceae,Vietnam,Fruit,Hart,4,Spicy,,Revitalise,,
Orangeflower co dist.,Citrus aurantium,Rutaceae,Morocco,Flower,Hart,4,Flower,,Relaxing; Harmonizing,,
Orangeflower; pure,Citrus aurantium,Rutaceae,Morocco,Flower,Hart,5,Flower,,Relaxing; Harmonizing,,
Oregano,Origanum compactum,Labiateae,Albania,Plant,Hart,5,Herbal,,Revitalise; Supports airways; Supports immunesystem; Purifying,,
Palmarosa,Cymbopogon martinii; Roxh,Poaceae,madagascar,Plant,hart,5,Flower,,Relaxing;  Supports airways; Purifying,,
Patchoeli,Pogostemon cablin,lamiaceae,Indonesia,Leaf,Base,4,Resinous,,Harmonizing,,
Peppermint,Mentha x piperita,lamiaceae,India,Plant,Top,4,Herbal:mint,,Revitalise; Supports airways; Purifying,,
Petitgrain; mandarine ,Citrus reticulata Blanco,Rutaceae,Eygpt,Leaf,hart,3,Citrus,,Relaxing; Supports airways,,
Petitgrain orange,Citrus aurantium var. Amara,Rutaceae,Paraguay,Leaf,hart,3,Citrus,,Relaxing; Supports airways,,
Ravintsara,Cinnamomum camphora cineol,Lauraceae,madagascar,Leaf,Top,3,Herbal:medicenal,,Revitalise; Supports airways; Purifying,,
Rhodondendron,Rhododendron anthopogon,lamiaceae,Nepal,Flower,,,Flower,,Relaxing; Supports airways; Supports immunesystem,,
Rose damascener,Rosa damascena,rosaceae,Turkey,Flower,Hart,5,Flower,,Relaxing; Harmonizing,,
Rosemary CT Cineol,Rosmarinus officinalis,Lauraceae,Morocco,Plant,Hart,5,Herbal,,Revitalise; Supports airways; Supports immunesystem,,
Sage,Salvia officinalis,Lauraceae,France,Leaf,Hart,5,Herbal,,Harmonizing; Supports airways; Supports immunesystem,,
Sandalwood; West Indies  ,Amyris balsamifera,Rutaceae,India,Wood,Base,2,Woody,,Relaxing,,
Scotch Pine,Pinus sylvestris,Pinaceae,Balkan,Plant,Top,4,Woody:Conifer,,Revitalise; Supports airways; Supports immunesystem; Purifying,,
Siam wood,Fokienia Hodgensii,Cupressaceae,Vietnam,Wood,Hart,3,Woody,,Revitalise,,
Siberian Fir,Abies siberica,Pinaceae,Russia,Needles,Top,3,Woody:Conifer,,Harmonizing;  Supports airways; Supports immunesystem; Purifying,,
Silverfir,Abies alba Miller,Pinaceae,Austria,Leaf,Top,3,Woody:Conifer,,Revitalise; Supports airways; Supports immunesystem; Purifying,,
Spearmint,Mentha spicata,lamiaceae,China,Plant,Top,4,Herbal:mint,,Revitalise; Supports airways,,
Staranise,Illicium verum,Magnoliacea,Indonesia,Fruit,Hart,5,Spicy,,Harmonizing; Supports airways; Purifying,,
Sweet orange,Citrus sinensis,Rutaceae,Mexico,Peel,Top,3,Citrus,Sweet orange (Citrus Sinensis) is an evergreen tree; belonging to the Rutaceae family of China. Cultivated for the most part in Italy and Spain reaches a height of 8-10 m with woody base; small green-dark leaves and clear whitish flowers. The fruits are larger and clearer than those of the bitter orange.,Relaxing; Harmonizing; Purifying; disinfects the air; supports when having a cold or bronchitis; uplifts and relaxing when having stress; firms the skintension,Star Anise; Cinnamon; Cloves; Lavender; Lavandin; Myrhh; Vanilla and most of the existing oils,Photosensibilizing and phototoxic; not to be used before exposure to the sun
Tangerine,Citrus reticulata var. Tang,Rutaceae,Brasil,Peel,Hart,3,Citrus,,Relaxing; Supports airways; Supports immunesystem,,Tea tree ,Melaleuca alternifolia,Myrtaceae,Australia,Leaf,Top,3,Herbal:medicenal,,Harmonizing; Revitalise; Supports airways; Supports immunesystem; Purifying,,
Thuja,Thuja koraiensis,Cupressaceae,China,Leaf,Top,4,Woody:Conifer,,Revitalise; Supports airways,,
Thymian ct Thymol,Thymus vulgaris thymoliferum,lamiaceae,France,Plant,Hart,6,Herbal,,Revitalise; Supports airways; Supports immunesystem; Purifying,,
Tokyo mint,Mentha arvensis var.,lamiaceae,Spain,Plant,Top,4,Herbal:mint,,Revitalise; Supports airways,,
Vetiver,Vetiver zizanoides,Poaceae,Java,Root,Base,5,Resinous,,Relaxing; Harmonizing; Supports immunesystem,,
Wild Mint,Mięta dzika,lamiaceae,China,Plant,Top,,Herbal:mint,,Revitalise; Supports airways,,
Wintergreen,Gaultheria fragrantissima,Ericaceae,Nepal,Leaf,Hart,5,Herbal,,Revitalise,,
Ylang Ylang,Cananga odorata var. genuina,Anonaceae ,madagascar,Flower,Hart,5,Flower,,Relaxing,,
