name,Otherlanguages,botanicalName,plantFamily,origin,partOfPlant,extractionmethod,Aromatic molecules,note,strength,fragrancegroup,Fragrance,Chakra,Color,Element,plantInfo,General proporties,Proporties body,Proporties mind,Proporties skin,HarmonizesWith,Did you know?,CONTRAINDICATIONS
Citronella 'Java',NL Citronella 'Java'; FR Citronella 'Java'; DE Citronella 'Java'; IT Citronella 'Java'; CZ Citronela; PL Citronella ,Cymbopogon winterianus,Poaceae,China,Plant,Steamdestillation,Geraniol; Citronellol; Citronellal,Top,3,Citrus,Fresh; Strong; Citrus,Solar Plexus,Yellow,Air; Fire,Citronella is a herbaceous plant belonging to the Poaceae family of Sri Lanka Cultivated mostly in Vietnam reaches a height of 2 m with long green leaves and medium roots Along with its variants (eg Cymbopogon citratus) is also known as Lemongrass,Revitalise; Purifying,NA,NA,NA,Roman Camomiles; Lavender; Hybrid Lavender; Ho; Majoram; Pine; Rosemary; Thymian; Vetiver; Spicy; Citrus oils,NA,Use in moderationDo not use during pregnancy It can irritate the mucous membranes and cause skin irritations
Clove,NL Kruidnagel; FR Clous de girofle; DE Nelkenblüte; IT Chiodi di garofano; CZ Hřebíček; PL Goździkowiec korzenny,Eugenia caryophyllata,Myrtaceae,Indonesia,Flower & bud,Steamdestillation,Eugenol; Eugenyle acetate,Heart; Base,5,Spicy,Warm; Spicy,Solar Plexus Throat; Heart,Indigo,Earth; Fire,The clove plant is an evergreen tree belonging to the family of Myrtaceae originally from Indonesia Cultured for the most part in Madagascar reaches a height of 12 m with woody bases at the base large and shiny leaves of green color and pink-red flowers,Revitalise; Supports airways; Purifying,NA,NA,NA,Bergamot; Frankincense; Lavender; Lavender Hybrid; Lime; Niaouli; Black Pepper; Vanilla; Ylang-Ylang; Citrus oils,NA,DOSE VERY LOW! It contains high doses of toxic phenols that can irritate the mucous membranes and cause skin irritations It is preferable to avoid using it during pregnancy
Combava leaf,NL Combava blad; FR Combava feuille; DE Combava; IT Combava foglia; CZ Limetka list; PL Limonka Kaffir ,Citrus hystrix,Rutaceae,Madagascar,Plant,Steamdestillation,NA,Top,3,Citrus,Fruity; Herbaceous ,NA,NA,NA,The combava also called kaffir lime is a tropical tree belonging to the rutaceae family of south east Asia It is considered one of the most aromatic ones both it's essential oil and it's frsh leaves wich are used in many dishes in Thai cuisine The essential oil is made from the leaves,"
Relaxing; Supports airways; Supports immunesystem
",NA,NA,NA,Bergamot; Cedar; Eucalyptus; Geranium; Juniper;Lavender;Marjoram; Niaouli; Rosewood; Rosemary,NA,/
Copal,NL Kopal; FR Copahu; DE Kopal; IT Copaiba; CZ Copaifera - pryskyřice; PL Copal,Copaifera officinalis,Fabaceae,Brasil,Resin,Steamdestillation,β-caryophyllene,Base; Heart,3,Resinous,Balsamic; Pepper; Woody,Solar Plexus,Yellow, NA,Copaiba is a large tree belonging to the Fabaceae family of South America Cultivated and present in the natural state mostly in Peru Brazil and Venezuela reaches a height of 40 m with large stems glabrous branches and small white flowers The plant extract is also called Balsamo Del Gesuita or Balsamo De Copaiba,Harmonizing; Supports airways,NA,NA,NA,Tea Tree; Bergamot; Roman Camomile; Camphor; Lavender; Hybrid Lavender; Neroli; Ravintsara; Amyris; Thymian; Spicy; Citrus oils,NA,/
Coriander,"NL Koriander; FR Coriandre; DE Koriander; IT Coriandolo; CZ Koriandr setý; PL Kolendra 
",Coriandrum sativum,Apiaceae,Russia,Seed,Steamdestillation,NA,Top,3,Spicy,Sweet; Liqueur,Solar Plexus,Yellow,Air; Fire,Coriander is an annual herb plant belonging to the family of the Apiaceae originating in Central Europe Grown spontaneously for the most part in Russia the Netherlands and India it often reaches a height of about 60 cm and carries umbrellas of white or rose flowers Coriander has delicate bright green leaves and produces seeds that are pressed and passed into steam stream to extract essential oil Initially they have an unpleasant smell that will later turn into warm and pleasant,Relaxing; Harmonizing; Purifying,NA,NA,NA,Roman Camomiles; Cypress; Geranium; Juniper; Lavender; Hybrid Lavender; Lemon; Litsea; Neroli; Citrus oils,NA,Use with moderation; At high doses can cause nerve disorders
Cypres,NL Cipress; FR Cyprès; DE Zypresse; IT Cipresso; CZ Cypřiš stálezelený; PL Cyprys wiecznie zielony,Cupressus sempervirens,Cupressaceae,Spain,Leaf,Steamdestillation,Pinene; δ 3 carene,Base,3,Woody,Warm; Balmy; Resinous,Throat; Sacred,Orange,Earth; Fire,Cypress is a large evergreen tree belonging to the Cupressaceae family originating in the eastern Mediterranean area Cultivated mostly in Spain and France often reaches 10 m high with woody bases at the base slender branches small flowers and browned cone marroncini,Revitalise; Supports airways,NA,NA,NA,Sweet Orange; Roman Camomile; Cardamom; Cedar; Cisto; Juniper; Majoram; Red Mandarin; Zirbelkiefer; Citrus oils,NA,It is preferable to avoid using it during pregnancy
Douglasfir,NL Douglasspar; FR Sapin douglas; DE Douglasfichte; IT Abete di Douglas; CZ Douglaska tisolistá; PL Daglezja zielona; ,Pseudotsuga mensiensii,Pinaceae,France,Plant,Steamdestillation,NA,Top,3,Woody,Fresh,NA,NA,NA,The douglasfir is a conifer beloning to the Pinaceae family and originates from North-America and Canada It is a majestic tree one of the tallest in the world (after California's sequoia) The height is about 60-75 m and the width is 15 to 2 m in diameter It can survive in the mountains up to 500 years and at the coast up to 700years,Revitalise; Supports airways; Support immunesystem; Purifying,NA,NA,NA,Pine; Cedar; Benzoin; Lavender; Rosemary; Frankinscense,NA,Do not use purly on skin
Elemi,NL Elemi; FR Elemi; DE Elemi; IT Elemi; CZ Elemi pryskyřice; PL Żywica kanarecznika,Canarium luzonicum,Burseraseae,Philippines,Resin,Steamdestillation,Limonene; Elemol; Elemicine; α-phellandrene,Heart,3,Resinous,Smooth and citrusy with garnished notes,Solar Plexus,Yellow; Green,Earth,The Elemi is a plant belonging to the Burseraceae family of the Philippines Grown spontaneously for the most part in the Philippines and Indonesia it often reaches a height of 30 m with sloping bases covered by a bark from which emerges the resin and oval leaves darker on the top page The flowers are small white-yellowish The fruit is a berry,Relaxing; Harmonizing; Supports immunesystem; Purifying,NA,NA,NA,Amyris; Tolubalm; Cinnamon; Incense; Lavender; Lavandin; Myrrh; Rosemary; Citrus oils,NA,It may be slightly irritating to certain types of skin
Eucalyptus citriodora,NL Eucalyptus citriodora; FR Eucalyptus citriodora; DE Eucalyptus citriodora; IT Eucalipto citridoro; CZ Eukalyptus citroníkový; PL Eukalyptus citroníkový,Eucalyptus citriodora,Myrtaceae,Brasil,Leaf,Steamdestillation,Citronellal; Citronellol; Isopulegol,Top,4,Herbal:Medicenal,Sharp; Fresh; strong; citrus,Heart; Solar Plexus,Green,Air; Fire,Eucalyptus Citriodora also called lemon-eucalyptusis a tree belonging to the family of the original Myrtaceae of Australia Grown spontaneously for most in Australia Tasmania and Brazil it often reaches a height of about 30 m large barrels with smooth bark of light gray color alternate blue and green leaves closely lanceolate and white flowers,Revitalise; Supports airways; Purifying,NA,NA,NA,Roman Camomiles; Lavender; Hybrid Lavender; Ho; Majoram; Pine; Rosemary; Thymian; Vetiver; Spicy; Citrus oils,NA,Use with moderation Do not ingest; Toxic and fatal
Eucalyptus dives,NL Eucalyptus munt; FR Eucalyptus menthole; DE Eucalyptus dives; IT Eucalipto dives; CZ Eukalyptus mátový; PL Eukaliptus miętowy,Eucalyptus dives,Myrtaceae,South-Africa,Leaf,Steamdestillation,Piperitone; α-phellandrene,Top,3,Herbal:Medicenal,Fresh; Balsamic; Medicinal,Heart; Solar Plexus,Green,Air; Fire,Eucalyptus dives also called peppermint-eucalyptus is an evergreen tree belonging to the family of Myrtaceae originating in South Africa and Australia Cultured for the most part in Australia can reach a height of over 70 m with woody bases at the base long narrow yellowish leaves and white flowers,Revitalise; Supports airways; Purifying,NA,NA,NA,Cedar; Citronella; Lavender; Hybrid Lavender; Ho; Majoram; Pine; Rosemary; Thymian; Vetiver; Spicy; Citrus oils,NA,
Eucalyptus globulus,NL Eucalyptus globulus; FR Eucalyptus globulus; DE Eucalyptus globulus; IT Eucalipto globulus; CZ Eukalyptus globulus; PL Eukaliptus gałkowy ,Eucalyptus globulus,Myrtaceae,Australia,Leaf,Steamdestillation,1;8 cineole,Top,4,Herbal:Medicenal,Fresh; Balsamic; Woody; Medicinal,Heart; Solar Plexus,Green,Air; Fire,Eucalyptus Globulus also called the blue gum is an evergreen tree belonging to the family of Myrtaceae originating in Tasmania and Australia Cultivated for the most part in Spain and Portugal can reach a height of over 90 m with woody bases at the base long narrow yellowish leaves and white flowers,Revitalise; Supports airways; Purifying,NA,NA,NA,Cedar; Citronella; Lavender; Hybrid Lavender; Ho; Majoram; Pine; Rosemary; Thymian; Vetiver; Spicy; Citrus oils,NA,Do not ingest; Toxic and fatal
Eucalyptus Smithii,NL Eucalyptus smithii; FR Eucalyptus smithii; DE Eucalyptus smithii; IT Eucalipto smithii; CZ Eukalyptus smithii; PL Eukaliptus smithii ,Eucalyptus smithii,Myrtaceae,South-Africa,Leaf,Steamdestillation,1;8 cineole; Limonene,Top,3,Herbal:Medicenal,Fresh; Balsamic; Woody; Medicinal,Heart; Solar Plexus,Green,Air; Fire,Green,Revitalise; Supports airways; Purifying,NA,NA,NA,Cedar; Citronella; Lavender; Hybrid Lavender; Ho; Majoram; Pine; Rosemary; Thymian; Vetiver; Spicy; Citrus oils,NA,Do not ingest; Toxic and fatal
Eucalyptus Staigeriana,NL Eucalyptus staigeriana; FR Eucalyptus staigeriana; DE Eucalyptus staigeriana; IT Eucalyptus staigeriana; CZ Eucalyptus staigeriana; PL Eukaliptus staigeriana ,Eucalyptus staigeriana ,Myrtaceae,Brasil,Leaf,Steamdestillation,NA,Top,3,Herbal:Medicenal,Fresh; Citrus,NA,NA,NA,Eucalyptus staigeriana also called iron gum is an evergreen tree belonging to the family of Myrtaceae originating in South Africa and Australia Cultured for the most part in Australia can reach a height of over 40 m with woody bases at the base long narrow yellowish leaves and white flowers,Revitalise; Supports airways; Purifying,NA,NA,NA,Pine; Eucalyptus; Geranium; Lavender,NA,NA
Frankincense,NL Wierook; FR Encens; DE Weihrauch; IT Incenso; CZ Kadidlovník pravý; PL Kadzidłowiec Kartera,Boswelia serrata,Burseraseae,India,Resin,Steamdestillation,Limonene; α-pinene; β-myrcene; β-caryophyllene,Base,2,Resinous,Balsamic; Sweet; Resinous,Heart; Throat; Tirth Eye; Crown,NA,Fire; Air,Frankincense is a resin made from a tree belonging to the family of the Burseraceae originating in southern Saudi Arabia The term Boswellia refers to a group of plants divided into over 19 different species Boswellia Sacra is the most sought after for resin production It grows mostly in Oman Yemen and Somalia often reaches an 8 m height with one or more trunks that are branched out of the soil from which the resin is drawn by incision of the same The leaves are composed of small dark green arranged in two side files The yellow flowers in the young flower then orange and finally dark red in the old flower,Relaxing; Supports airways,NA,NA,NA,Cajeput; Elemi; Lavender; Lavandin; Ho; Myrrh; Black Peper; Amyris; Citrus oils,NA,Use in moderation
Geranium,NL Geranium; FR Géranium; DE Geranium; IT Geranio; CZ Pelargonie; PL Żurawka,Pelargonium x asperum,Geraniacea,Eygpt,Flower,Steamdestillation,Citronellol; Geraniol,Heart,5,Flower,Fresh; Sweet; Balsamic,Heart; Throat,Green; Pink,Water; Earth,The Geranium is a perennial shrub plant belonging to the family of the Geraniaceae native to Southern Africa Cultivated for the most part in Egypt reaches a height of 1 m with with playful leaves and small pink flowers,Relaxing; Harmonizing; Supports immunesystem,NA,NA,NA,Benzoin; Bergamot; Roman Chamomile; Cypress; Sweet Fennel; Juniper; Ravintsara;Amyris; Citrus oils,NA,Use with moderation High doses can irritate the mucous membranes and cause skin irritations
Ginger,NL Gember; FR Gingembre; DE Ingwer; IT Zenzero; CZ Zázvor; PL Zázvor lékařský;,Zingiber officinalis,Zingiberaceae,China,Root,CO² extraction,Bisabolene; Zingiberene,Heart,4,Spicy,Warm; Spicy; Sharp,Sacral,Orange,Fire,Ginger is a perennial evergreen herbaceous plant of the Zingiberaceae family of the Far East Cultivated throughout the tropical and subtropical strip it reaches a height of 1 m and is provided with a barrel-like green stem with narrow leaves and white or yellow flowers gathered in an ear that starts directly from the root,Revitalise; Supports airways,NA,NA,NA,Cedar; Coriander; Frankincense; Lime; Neroli; Amyris; Vetiver; Citrus oils,NA,/
